X	Predicted.sequence.orientation	Kingdom	Kingdom.certainty	Phylum	Phylum.certainty	Class	Class.certainty	Order	Order.certainty	Family	Family.certainty	Genus	Genus.certainty	Species	Species.certainty
ASV_2315	+	Fungi	100%	Zygomycota	100%	Incertae_sedis_10	100%	Mortierellales	100%	Mortierellaceae	73%	Mortierella	73%	Mortierella_sp_ATT116|SH218048.06FU	36%
ASV_2316	-	Fungi	100%	Ascomycota	100%	Dothideomycetes	43%	Dothideomycetes_unidentified	42%	Dothideomycetes_unidentified_1	42%	Dothideomycetes_unidentified_1	42%	Dothideomycetes_sp|SH216443.06FU	42%
ASV_2317	-	Fungi	100%	Ascomycota	100%	Eurotiomycetes	100%	Eurotiales	100%	Trichocomaceae	100%	Penicillium	62%	Penicillium_verruculosum|SH225875.06FU	33%
ASV_2318	-	Fungi	100%	Ascomycota	99%	Eurotiomycetes	98%	Chaetothyriales	98%	Herpotrichiellaceae	98%	Exophiala	97%	Exophiala_equina|SH230210.06FU	59%
ASV_2319	-	Fungi	100%	Zygomycota	51%	Incertae_sedis_10	51%	Mortierellales	51%	Mortierellaceae	51%	Mortierella	51%	Mortierella_sp|SH214852.06FU	42%
ASV_2320	-	Fungi	100%	Zygomycota	100%	Incertae_sedis_10	100%	Mortierellales	100%	Mortierellaceae	70%	Mortierella	70%	Mortierella_sp_ATT116|SH218048.06FU	41%
ASV_2321	+	Fungi	100%	Zygomycota	100%	Incertae_sedis_10	100%	Mortierellales	100%	Mortierellaceae	79%	Mortierella	79%	Mortierella_sp_ATT116|SH218048.06FU	39%
ASV_2322	-	Fungi	100%	Ascomycota	88%	Ascomycota_unidentified	20%	Ascomycota_unidentified_1	20%	Ascomycota_unidentified_1	20%	Ascomycota_unidentified_1_1	20%	Ascomycota_sp|SH223423.06FU	20%
ASV_2323	-	Fungi	100%	Zygomycota	100%	Incertae_sedis_10	100%	Mortierellales	100%	Mortierellaceae	73%	Mortierella	73%	Mortierella_sp_ATT116|SH218048.06FU	41%
ASV_2324	-	Fungi	100%	Ascomycota	77%	Sordariomycetes	77%	Incertae_sedis_7	41%	Plectosphaerellaceae	41%	Gibellulopsis	39%	Gibellulopsis_sp_YH_2012|SH219656.06FU	39%
ASV_2325	-	Fungi	100%	Ascomycota	93%	Sordariomycetes	92%	Hypocreales	91%	Nectriaceae	90%	Nectriaceae_unidentified	90%	Nectriaceae_sp|SH217404.06FU	90%
ASV_2326	+	Fungi	100%	Ascomycota	93%	Sordariomycetes	93%	Hypocreales	93%	Nectriaceae	93%	Nectriaceae_unidentified	91%	Nectriaceae_sp|SH217404.06FU	91%
ASV_2327	-	Fungi	100%	Ascomycota	100%	Sordariomycetes	97%	Sordariomycetes_unidentified	85%	Sordariomycetes_unidentified_1	85%	Sordariomycetes_unidentified_1	85%	Sordariomycetes_sp|SH233630.06FU	84%
ASV_2328	-	Fungi	100%	Fungi_unidentified	58%	Fungi_unidentified_1	58%	Fungi_unidentified_1	58%	Fungi_unidentified_1_1	58%	Fungi_unidentified_1_1	58%	Fungi_sp|SH217408.06FU	51%
ASV_2329	-	Fungi	100%	Ascomycota	69%	Sordariomycetes	69%	Incertae_sedis_7	39%	Plectosphaerellaceae	39%	Gibellulopsis	37%	Gibellulopsis_sp_YH_2012|SH219656.06FU	37%
ASV_2330	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	93%
ASV_2331	+	Fungi	100%	Basidiomycota	90%	Agaricomycetes	90%	Agaricales	90%	Psathyrellaceae	90%	Coprinellus	90%	Coprinellus_sp|SH199708.06FU	82%
ASV_2332	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	87%
ASV_2333	+	Fungi	100%	Ascomycota	98%	Sordariomycetes	80%	Sordariales	79%	Lasiosphaeriaceae	77%	Podospora	77%	Podospora_sp|SH223422.06FU	41%
ASV_2334	-	Fungi	100%	Ascomycota	19%	Incertae_sedis_14	12%	Incertae_sedis_15	12%	Incertae_sedis_16	12%	Pulchromyces	9%	Pulchromyces_fimicola|SH227367.06FU	9%
ASV_2335	+	Fungi	100%	Ascomycota	80%	Dothideomycetes	70%	Pleosporales	70%	Incertae_sedis_13	70%	Phoma	59%	Phoma_sp_P17E3|SH202157.06FU	34%
ASV_2336	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	88%
ASV_2337	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	91%
ASV_2338	+	Fungi	100%	Zygomycota	49%	Incertae_sedis_10	49%	Mortierellales	49%	Mortierellaceae	49%	Mortierella	49%	Mortierella_sp|SH214852.06FU	39%
ASV_2339	-	Fungi	100%	Basidiomycota	82%	Tremellomycetes	79%	Cystofilobasidiales	75%	Cystofilobasidiaceae	75%	Guehomyces	63%	Guehomyces_pullulans|SH215066.06FU	63%
ASV_2340	+	Fungi	100%	Basidiomycota	88%	Tremellomycetes	76%	Cystofilobasidiales	76%	Cystofilobasidiaceae	76%	Guehomyces	61%	Guehomyces_pullulans|SH215066.06FU	61%
ASV_2341	+	Fungi	100%	Basidiomycota	99%	Agaricomycetes	99%	Corticiales	98%	Corticiaceae	98%	Waitea	98%	Rhizoctonia_zeae|SH211230.06FU	98%
