	CS1-Fungus	CS2-Fungus	CS3-Fungus	FS1-Fungus	FS2-Fungus	FS3-Fungus	SC1-Fungus	SC2-Fungus	SC3-Fungus	WS1-Fungus	WS2-Fungus	WS3-Fungus
ASV_280	0	0	0	485	458	376	0	0	0	0	0	0
ASV_281	43	160	198	169	137	124	0	0	0	191	216	78
ASV_282	59	109	76	32	48	43	55	51	142	363	142	187
ASV_283	15	24	40	39	64	78	298	314	241	17	41	136
ASV_284	0	0	0	664	491	151	0	0	0	0	0	0
ASV_285	0	0	0	102	448	751	0	0	0	0	0	0
ASV_286	0	0	0	379	555	310	0	0	54	0	0	0
ASV_287	46	51	35	0	0	13	180	184	218	116	326	124
ASV_288	0	0	0	318	731	241	0	0	0	0	0	0
ASV_289	0	0	0	150	762	370	0	0	0	0	0	0
ASV_290	0	0	0	23	0	0	576	586	97	0	0	0
ASV_291	45	106	68	310	483	216	27	18	0	0	0	0
ASV_292	0	0	0	311	258	308	118	119	159	0	0	0
ASV_293	0	0	0	82	112	27	380	376	244	0	0	50
ASV_294	533	395	228	0	40	74	0	0	0	0	0	0
ASV_295	0	0	0	295	564	390	0	0	0	0	0	0
ASV_296	0	9	56	78	404	452	84	69	96	0	0	0
ASV_297	0	141	89	63	0	0	192	211	122	168	128	133
ASV_298	0	0	0	237	695	305	0	0	0	0	0	0
ASV_299	0	0	0	494	0	742	0	0	0	0	0	0
ASV_300	0	0	11	91	421	563	0	0	73	68	0	0
ASV_301	0	0	0	0	0	0	306	295	610	6	0	0
ASV_302	0	0	0	439	621	153	0	0	0	0	0	0
ASV_303	9	50	0	245	290	98	183	162	0	27	29	117
ASV_304	0	0	0	1150	53	0	0	0	0	0	0	0
ASV_305	46	117	139	0	162	104	151	162	193	0	42	81
ASV_306	0	11	20	153	501	396	27	29	7	15	12	25
ASV_307	0	0	0	0	0	0	383	390	75	274	74	0
ASV_308	0	0	15	49	51	339	263	251	223	0	0	0
ASV_309	11	64	44	614	324	80	20	24	7	0	0	0
ASV_310	0	0	0	146	950	84	0	0	0	0	0	0
ASV_311	86	161	85	106	89	0	91	88	264	121	0	86
ASV_312	63	19	74	145	51	45	81	77	105	0	131	386
ASV_313	0	0	0	424	370	375	0	0	0	0	0	0
ASV_314	0	29	41	0	39	479	135	133	131	88	26	63
ASV_315	20	163	41	285	217	129	58	46	115	12	42	32
ASV_316	0	0	0	1147	0	0	0	0	0	0	0	0
ASV_317	27	151	139	0	0	0	0	0	0	93	318	417
ASV_318	85	53	26	50	204	62	208	227	132	0	97	0
ASV_319	0	0	0	103	778	261	0	0	0	0	0	0
ASV_320	36	423	0	0	0	0	103	89	451	0	39	0
ASV_321	0	33	0	55	172	0	120	113	133	492	0	19
ASV_322	0	85	142	145	0	22	0	0	0	67	172	501
ASV_323	0	0	0	546	413	171	0	0	0	0	0	0
ASV_324	0	115	117	0	0	0	0	0	0	526	167	204
ASV_325	89	95	350	152	125	104	66	61	73	0	0	0
ASV_326	0	0	0	121	330	589	0	0	74	0	0	0
ASV_327	41	69	73	39	39	0	196	212	185	114	91	52
ASV_328	0	0	0	145	119	19	339	411	7	19	11	35
ASV_329	0	0	0	316	244	66	71	91	197	0	50	63
ASV_330	0	40	44	139	110	216	133	140	78	29	79	89
ASV_331	0	22	62	539	294	96	8	13	24	0	13	0
ASV_332	5	0	0	449	427	178	5	5	0	0	0	0
